model_key,task,model_type,experiment_type,submetric,source,layer,split,language,metric,value,is_control,control_index
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,mae,0.2046888768672943,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,r2,-9.059906005859375e-06,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mse,0.04681095480918884,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,rmse,0.21635839435803927,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mae,0.17533499002456665,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,r2,-0.11850905418395996,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mse,0.07390546053647995,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,rmse,0.2718555876499138,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mae,0.22340241074562073,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,r2,-0.12728559970855713,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mse,0.05401737987995148,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,rmse,0.23241639331155511,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mae,0.1905544102191925,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,r2,-0.2919987440109253,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mse,0.06678894907236099,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,rmse,0.258435580120774,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mae,0.21695291996002197,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,r2,-0.08852124214172363,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,mse,0.054173365235328674,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,rmse,0.23275172445189032,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,mae,0.19090670347213745,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,r2,-0.1499112844467163,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,mse,0.06184987351298332,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,rmse,0.24869634800893906,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,mae,0.1979149729013443,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,val,ru,r2,-0.3295571804046631,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,mse,0.05892105773091316,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,rmse,0.24273660154767177,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,mae,0.19318686425685883,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,ar,r2,-0.01577281951904297,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,mse,0.038640543818473816,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,rmse,0.19657198126506692,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,mae,0.1533021777868271,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,en,r2,-0.0026448965072631836,True,1.0
dummy_complexity_control1_all,complexity,DummyRegressor,monolingual,,baseline,,test,fi,mse,0.04028290882706642,True,1.0
