experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ko,complexity,None,None,2,mse,0.04128776490688324
probe,ko,complexity,None,None,2,rmse,0.20319390962054754
probe,ko,complexity,None,None,2,r2,-0.2819925546646118
probe,ru,question_type,None,None,2,loss,0.541477518422263
probe,ru,question_type,None,None,2,accuracy,0.9
probe,ru,question_type,None,None,2,f1,0.8910891089108911
probe,ru,question_type,None,None,2,precision,0.9782608695652174
probe,ru,question_type,None,None,2,recall,0.8181818181818182
probe,ru,complexity,None,None,2,loss,0.05642581145678248
probe,ru,complexity,None,None,2,mse,0.056273140013217926
probe,ru,complexity,None,None,2,rmse,0.2372196029277891
probe,ru,complexity,None,None,2,r2,-0.42337608337402344
probe,ar,question_type,None,None,3,loss,0.7364547252655029
probe,ar,question_type,None,None,3,accuracy,0.7662337662337663
probe,ar,question_type,None,None,3,f1,0.7096774193548387
probe,ar,question_type,None,None,3,precision,0.55
probe,ar,question_type,None,None,3,recall,1.0
probe,ar,complexity,None,None,3,loss,0.030994877964258195
probe,ar,complexity,None,None,3,mse,0.030697615817189217
probe,ar,complexity,None,None,3,rmse,0.17520735092224074
probe,ar,complexity,None,None,3,r2,0.4707867503166199
probe,en,question_type,None,None,3,loss,0.5370370277336666
probe,en,question_type,None,None,3,accuracy,0.9090909090909091
probe,en,question_type,None,None,3,f1,0.9019607843137255
probe,en,question_type,None,None,3,precision,0.9787234042553191
probe,en,question_type,None,None,3,recall,0.8363636363636363
probe,en,complexity,None,None,3,loss,0.022308896827910627
probe,en,complexity,None,None,3,mse,0.022300826385617256
probe,en,complexity,None,None,3,rmse,0.14933461214874888
probe,en,complexity,None,None,3,r2,0.4213380813598633
probe,fi,question_type,None,None,3,loss,0.58535578421184
probe,fi,question_type,None,None,3,accuracy,0.8363636363636363
probe,fi,question_type,None,None,3,f1,0.8333333333333334
probe,fi,question_type,None,None,3,precision,0.8490566037735849
probe,fi,question_type,None,None,3,recall,0.8181818181818182
probe,fi,complexity,None,None,3,loss,0.03382450794535024
probe,fi,complexity,None,None,3,mse,0.03400088846683502
probe,fi,complexity,None,None,3,rmse,0.18439329832408505
probe,fi,complexity,None,None,3,r2,0.13893473148345947
probe,id,question_type,None,None,3,loss,0.644407366003309
probe,id,question_type,None,None,3,accuracy,0.7090909090909091
probe,id,question_type,None,None,3,f1,0.7142857142857143
probe,id,question_type,None,None,3,precision,0.7017543859649122
probe,id,question_type,None,None,3,recall,0.7272727272727273
probe,id,complexity,None,None,3,loss,0.02384514068918569
probe,id,complexity,None,None,3,mse,0.023815622553229332
probe,id,complexity,None,None,3,rmse,0.15432311088501727
probe,id,complexity,None,None,3,r2,0.41591304540634155
probe,ja,question_type,None,None,3,loss,0.6686145265897115
probe,ja,question_type,None,None,3,accuracy,0.6739130434782609
probe,ja,question_type,None,None,3,f1,0.7857142857142857
probe,ja,question_type,None,None,3,precision,0.6470588235294118
probe,ja,question_type,None,None,3,recall,1.0
probe,ja,complexity,None,None,3,loss,0.019078155669073265
probe,ja,complexity,None,None,3,mse,0.019171690568327904
probe,ja,complexity,None,None,3,rmse,0.1384618740604355
probe,ja,complexity,None,None,3,r2,0.6317282915115356
probe,ko,question_type,None,None,3,loss,0.6664085558482579
probe,ko,question_type,None,None,3,accuracy,0.6636363636363637
probe,ko,question_type,None,None,3,f1,0.6407766990291263
probe,ko,question_type,None,None,3,precision,0.6875
probe,ko,question_type,None,None,3,recall,0.6
probe,ko,complexity,None,None,3,loss,0.042641101138932366
probe,ko,complexity,None,None,3,mse,0.042870599776506424
probe,ko,complexity,None,None,3,rmse,0.20705216679983435
probe,ko,complexity,None,None,3,r2,-0.3311399221420288
probe,ru,question_type,None,None,3,loss,0.5313144879681724
probe,ru,question_type,None,None,3,accuracy,0.9545454545454546
probe,ru,question_type,None,None,3,f1,0.9541284403669725
probe,ru,question_type,None,None,3,precision,0.9629629629629629
probe,ru,question_type,None,None,3,recall,0.9454545454545454
probe,ru,complexity,None,None,3,loss,0.061056048210178106
probe,ru,complexity,None,None,3,mse,0.060910020023584366
probe,ru,complexity,None,None,3,rmse,0.24679955434235365
probe,ru,complexity,None,None,3,r2,-0.5406616926193237
probe,ar,question_type,None,None,4,loss,0.7188438773155212
probe,ar,question_type,None,None,4,accuracy,0.7792207792207793
probe,ar,question_type,None,None,4,f1,0.6792452830188679
probe,ar,question_type,None,None,4,precision,0.5806451612903226
probe,ar,question_type,None,None,4,recall,0.8181818181818182
probe,ar,complexity,None,None,4,loss,0.030321285873651505
probe,ar,complexity,None,None,4,mse,0.030198050662875175
probe,ar,complexity,None,None,4,rmse,0.1737758632919865
probe,ar,complexity,None,None,4,r2,0.47939902544021606
probe,en,question_type,None,None,4,loss,0.5240281862871987
probe,en,question_type,None,None,4,accuracy,0.9545454545454546
probe,en,question_type,None,None,4,f1,0.9523809523809523
probe,en,question_type,None,None,4,precision,1.0
probe,en,question_type,None,None,4,recall,0.9090909090909091
probe,en,complexity,None,None,4,loss,0.020360902483974184
probe,en,complexity,None,None,4,mse,0.020360849797725677
probe,en,complexity,None,None,4,rmse,0.14269144963075284
probe,en,complexity,None,None,4,r2,0.47167664766311646
probe,fi,question_type,None,None,4,loss,0.5623774869101388
probe,fi,question_type,None,None,4,accuracy,0.8818181818181818
probe,fi,question_type,None,None,4,f1,0.8849557522123894
probe,fi,question_type,None,None,4,precision,0.8620689655172413
probe,fi,question_type,None,None,4,recall,0.9090909090909091
probe,fi,complexity,None,None,4,loss,0.03034049698284694
probe,fi,complexity,None,None,4,mse,0.030467664822936058
probe,fi,complexity,None,None,4,rmse,0.1745498920736878
probe,fi,complexity,None,None,4,r2,0.228412926197052
probe,id,question_type,None,None,4,loss,0.640583166054317
probe,id,question_type,None,None,4,accuracy,0.6727272727272727
probe,id,question_type,None,None,4,f1,0.64
probe,id,question_type,None,None,4,precision,0.7111111111111111
probe,id,question_type,None,None,4,recall,0.5818181818181818
probe,id,complexity,None,None,4,loss,0.023801476694643497
probe,id,complexity,None,None,4,mse,0.02371056005358696
probe,id,complexity,None,None,4,rmse,0.15398233682337387
probe,id,complexity,None,None,4,r2,0.4184897541999817
probe,ja,question_type,None,None,4,loss,0.6320367157459259
probe,ja,question_type,None,None,4,accuracy,0.7282608695652174
probe,ja,question_type,None,None,4,f1,0.8091603053435115
probe,ja,question_type,None,None,4,precision,0.6973684210526315
