experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
24,ar,complexity,1,128,0.25,2e-5,loss,0.08988848626613617
24,ar,complexity,1,128,0.25,2e-5,mse,0.09072675555944443
24,ar,complexity,1,128,0.25,2e-5,rmse,0.3012088238406113
24,ar,complexity,1,128,0.25,2e-5,r2,-0.5640888214111328
25,ar,complexity,1,256,0.01,1e-4,loss,0.04832295849919319
25,ar,complexity,1,256,0.01,1e-4,mse,0.04932300001382828
25,ar,complexity,1,256,0.01,1e-4,rmse,0.2220878204986223
25,ar,complexity,1,256,0.01,1e-4,r2,0.14969342947006226
26,ar,complexity,1,256,0.01,2e-5,loss,0.06487167924642563
26,ar,complexity,1,256,0.01,2e-5,mse,0.06629091501235962
26,ar,complexity,1,256,0.01,2e-5,rmse,0.2574702216031198
26,ar,complexity,1,256,0.01,2e-5,r2,-0.14282596111297607
27,ar,complexity,1,256,0.1,1e-4,loss,0.03487149327993393
27,ar,complexity,1,256,0.1,1e-4,mse,0.035594068467617035
27,ar,complexity,1,256,0.1,1e-4,rmse,0.18866390345695977
27,ar,complexity,1,256,0.1,1e-4,r2,0.3863740563392639
28,ar,complexity,1,256,0.1,2e-5,loss,0.06345517933368683
28,ar,complexity,1,256,0.1,2e-5,mse,0.06487030535936356
28,ar,complexity,1,256,0.1,2e-5,rmse,0.2546964965588721
28,ar,complexity,1,256,0.1,2e-5,r2,-0.11833524703979492
29,ar,complexity,1,256,0.25,1e-4,loss,0.03475212194025516
29,ar,complexity,1,256,0.25,1e-4,mse,0.035215768963098526
29,ar,complexity,1,256,0.25,1e-4,rmse,0.18765865011530516
29,ar,complexity,1,256,0.25,1e-4,r2,0.39289581775665283
30,ar,complexity,1,256,0.25,2e-5,loss,0.07610850110650062
30,ar,complexity,1,256,0.25,2e-5,mse,0.0773741826415062
30,ar,complexity,1,256,0.25,2e-5,rmse,0.2781621517056305
30,ar,complexity,1,256,0.25,2e-5,r2,-0.3338965177536011
31,ar,complexity,1,384,0.01,1e-4,loss,0.06996389478445053
31,ar,complexity,1,384,0.01,1e-4,mse,0.07069424539804459
31,ar,complexity,1,384,0.01,1e-4,rmse,0.2658838945819107
31,ar,complexity,1,384,0.01,1e-4,r2,-0.21873736381530762
32,ar,complexity,1,384,0.01,2e-5,loss,0.08617718070745468
32,ar,complexity,1,384,0.01,2e-5,mse,0.08723799884319305
32,ar,complexity,1,384,0.01,2e-5,rmse,0.29536079435699153
32,ar,complexity,1,384,0.01,2e-5,r2,-0.5039442777633667
33,ar,complexity,1,384,0.1,1e-4,loss,0.05277096182107925
33,ar,complexity,1,384,0.1,1e-4,mse,0.05361597239971161
33,ar,complexity,1,384,0.1,1e-4,rmse,0.23155123061584365
33,ar,complexity,1,384,0.1,1e-4,r2,0.07568448781967163
34,ar,complexity,1,384,0.1,2e-5,loss,0.08291922062635422
34,ar,complexity,1,384,0.1,2e-5,mse,0.0841563493013382
34,ar,complexity,1,384,0.1,2e-5,rmse,0.29009713769931994
34,ar,complexity,1,384,0.1,2e-5,r2,-0.45081794261932373
35,ar,complexity,1,384,0.25,1e-4,loss,0.08030639216303825
35,ar,complexity,1,384,0.25,1e-4,mse,0.08132015913724899
35,ar,complexity,1,384,0.25,1e-4,rmse,0.28516689698709596
35,ar,complexity,1,384,0.25,1e-4,r2,-0.4019232988357544
36,ar,complexity,1,384,0.25,2e-5,loss,0.10573664456605911
36,ar,complexity,1,384,0.25,2e-5,mse,0.10604441165924072
36,ar,complexity,1,384,0.25,2e-5,rmse,0.32564460944293355
36,ar,complexity,1,384,0.25,2e-5,r2,-0.8281583786010742
37,ar,complexity,12,10,0.01,1e-4,loss,0.05816529095172882
37,ar,complexity,12,10,0.01,1e-4,mse,0.057523924857378006
37,ar,complexity,12,10,0.01,1e-4,rmse,0.23984145775361274
37,ar,complexity,12,10,0.01,1e-4,r2,0.008313119411468506
38,ar,complexity,12,10,0.01,2e-5,loss,0.05606293082237244
38,ar,complexity,12,10,0.01,2e-5,mse,0.055559709668159485
38,ar,complexity,12,10,0.01,2e-5,rmse,0.23571107243436717
38,ar,complexity,12,10,0.01,2e-5,r2,0.042175352573394775
39,ar,complexity,12,10,0.1,1e-4,loss,0.05704558789730072
39,ar,complexity,12,10,0.1,1e-4,mse,0.05646036937832832
39,ar,complexity,12,10,0.1,1e-4,rmse,0.23761390821736073
39,ar,complexity,12,10,0.1,1e-4,r2,0.026648402214050293
40,ar,complexity,12,10,0.1,2e-5,loss,0.05646438747644424
40,ar,complexity,12,10,0.1,2e-5,mse,0.0559348501265049
40,ar,complexity,12,10,0.1,2e-5,rmse,0.23650549703232038
40,ar,complexity,12,10,0.1,2e-5,r2,0.035708069801330566
41,ar,complexity,12,10,0.25,1e-4,loss,0.05670056715607643
41,ar,complexity,12,10,0.25,1e-4,mse,0.05617201700806618
41,ar,complexity,12,10,0.25,1e-4,rmse,0.23700636491045168
41,ar,complexity,12,10,0.25,1e-4,r2,0.03161942958831787
42,ar,complexity,12,10,0.25,2e-5,loss,0.06063956245779991
42,ar,complexity,12,10,0.25,2e-5,mse,0.0604013092815876
42,ar,complexity,12,10,0.25,2e-5,rmse,0.24576677823006834
42,ar,complexity,12,10,0.25,2e-5,r2,-0.04129171371459961
43,ar,complexity,12,50,0.01,1e-4,loss,0.05001608282327652
43,ar,complexity,12,50,0.01,1e-4,mse,0.04961284250020981
43,ar,complexity,12,50,0.01,1e-4,rmse,0.2227394049112321
43,ar,complexity,12,50,0.01,1e-4,r2,0.1446966528892517
44,ar,complexity,12,50,0.01,2e-5,loss,0.055901598930358884
44,ar,complexity,12,50,0.01,2e-5,mse,0.05534864217042923
44,ar,complexity,12,50,0.01,2e-5,rmse,0.23526292136762483
44,ar,complexity,12,50,0.01,2e-5,r2,0.04581403732299805
45,ar,complexity,12,50,0.1,1e-4,loss,0.052438105642795566
45,ar,complexity,12,50,0.1,1e-4,mse,0.052003759890794754
45,ar,complexity,12,50,0.1,1e-4,rmse,0.2280433289767424
45,ar,complexity,12,50,0.1,1e-4,r2,0.1034783124923706
46,ar,complexity,12,50,0.1,2e-5,loss,0.05918598920106888
46,ar,complexity,12,50,0.1,2e-5,mse,0.05863579735159874
46,ar,complexity,12,50,0.1,2e-5,rmse,0.2421482961980091
46,ar,complexity,12,50,0.1,2e-5,r2,-0.01085507869720459
47,ar,complexity,12,50,0.25,1e-4,loss,0.0613905131816864
47,ar,complexity,12,50,0.25,1e-4,mse,0.060821712017059326
47,ar,complexity,12,50,0.25,1e-4,rmse,0.2466205831171829
