Language,Model,Raw_Difference,Normalized_Difference
Arabic,Ridge,0.4586303182046514,1.3533474474331955
English,Ridge,0.5707649206701819,1.2055023830582712
Finnish,Ridge,0.32526004295051125,1.130653751094018
Indonesian,Ridge,0.5916752340898976,1.221182320559102
Japanese,Ridge,0.5092618329120857,1.6021826099401868
Korean,Ridge,0.6003895197194143,1.4707676669483127
Russian,Ridge,0.9309005432380654,2.7334665577404675
Arabic,XGBoost,0.2780735492706298,1.0350868551757004
English,XGBoost,0.6559511423110962,1.0892473358804784
Finnish,XGBoost,0.5290101369222006,1.0413947941196016
Indonesian,XGBoost,0.5163874626159668,1.0014951546769535
Japanese,XGBoost,0.6042275230089822,1.3217738086592146
Korean,XGBoost,0.6617078979810079,1.287170039198863
Russian,XGBoost,0.9058014551798502,2.3443890244050434
Arabic,LM-L2,0.2432693243026733,1.074952835294765
English,LM-L2,0.6960064371426901,1.0386823062235486
Finnish,LM-L2,0.5330011447270712,0.9974462651944508
Indonesian,LM-L2,0.47865043083826697,1.0525877837894613
Japanese,LM-L2,0.7720738848050435,1.1963072780802684
Korean,LM-L2,0.6553507645924885,1.114464054260484
Russian,LM-L2,0.5712467233339945,2.289998426968529
Arabic,LM-L6,-0.1285911798477172,1.6242512670864688
English,LM-L6,0.4396969874699909,1.0439512251406364
Finnish,LM-L6,0.4460194706916809,0.9228375679891396
Indonesian,LM-L6,-0.05177307128906243,0.9193798318331537
Japanese,LM-L6,0.6465426484743754,1.0238535449783392
Korean,LM-L6,0.3609059453010559,1.0343019449156647
Russian,LM-L6,0.7583699425061544,1.3691057223763439
Arabic,LM-L11,-0.24084866046905512,0.5752488544906273
English,LM-L11,0.7299711306889851,1.111798130081832
Finnish,LM-L11,0.5694787303606669,1.1844790808018808
Indonesian,LM-L11,0.560647209485372,1.4717796098766438
Japanese,LM-L11,0.696770191192627,1.2397692920527426
Korean,LM-L11,0.7348257501920064,1.1311172055156204
Russian,LM-L11,0.9730139970779419,1.749745702451825
Arabic,LM-L12,0.15655410289764404,1.1290855348680455
English,LM-L12,0.38542318344116205,1.1766176124862893
Finnish,LM-L12,0.2592160304387411,0.9276499887232406
Indonesian,LM-L12,-0.4689515829086304,0.907571193051442
Japanese,LM-L12,0.6924631198247273,1.2330618905415185
Korean,LM-L12,0.5266673763593037,1.0227150214049154
Russian,LM-L12,0.8227534890174866,2.2224139416153004
