language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
id,0.0263448763543937,0.0362438350816276,0.0353316097189432,0.0372178580471906,0.0362644342825871,0.0099195579281934,27.353405959393235,single_submetric,Ridge,mse,test,avg_links_len,
ja,0.0757571722221237,0.1068893062560196,0.1069637187140345,0.1066755145030401,0.1068428464910313,0.0310856742689076,29.094764216635767,single_submetric,Ridge,mse,test,avg_links_len,
ko,0.0200660760247972,0.0263883658213615,0.0264222607197322,0.0282746872594461,0.0270284379335132,0.006962361908716,25.75939433067736,single_submetric,Ridge,mse,test,avg_links_len,
ru,0.0188515791466277,0.0203916007052315,0.0196877436299557,0.0234047423250508,0.0211613622200793,0.0023097830734516,10.915096341292973,single_submetric,Ridge,mse,test,avg_links_len,
ar,0.0678255595327193,0.0698992936697083,0.0701234784240058,0.07193870324499,0.0706538251129013,0.002828265580182,4.002990037216859,single_submetric,Ridge,mse,test,lexical_density,
en,0.0241041547426598,0.0332386865306844,0.0273206503774156,0.02760084790695,0.0293867282716833,0.0052825735290235,17.976051910868048,single_submetric,Ridge,mse,test,lexical_density,
fi,0.0582366677730357,0.0536963600477713,0.0581410275512951,0.0563246009285917,0.056053996175886,-0.0021826715971496,-3.893873311549257,single_submetric,Ridge,mse,test,lexical_density,
id,0.0378730408992781,0.0607756504481699,0.0767527515976588,0.0605156051166773,0.0660146690541686,0.0281416281548905,42.62935580544805,single_submetric,Ridge,mse,test,lexical_density,
ja,0.0770873584933994,0.0620038619409268,0.0622601380175865,0.066531105171678,0.0635983683767304,-0.0134889901166689,-21.209648078966048,single_submetric,Ridge,mse,test,lexical_density,
ko,0.0592314564206086,0.0787504546780209,0.0806955348900667,0.0842903425872647,0.081245444051784,0.0220139876311754,27.095657963472085,single_submetric,Ridge,mse,test,lexical_density,
ru,0.0430950803586705,0.0604120864849273,0.0641448392974655,0.0688094996232158,0.0644554751352028,0.0213603947765323,33.13976777260032,single_submetric,Ridge,mse,test,lexical_density,
