language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
id,0.0439334921538829,0.0766122415661811,0.0788221508264541,0.059815626591444,0.0717500063280264,0.0278165141741435,38.768657450665685,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,
ja,0.0720668137073516,0.1061915755271911,0.1133792176842689,0.1165786236524581,0.112049805621306,0.0399829919139544,35.68323183806733,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,
ko,0.0546709597110748,0.0658425316214561,0.0661271512508392,0.0691906735301017,0.0670534521341323,0.0123824924230575,18.466599450074337,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,
ru,0.0406591333448886,0.0536313578486442,0.0552598536014556,0.0540330074727535,0.0543080729742844,0.0136489396293958,25.132432218426874,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,
ar,0.0284759625792503,0.0503295846283435,0.0510583892464637,0.0513339713215827,0.0509073150654632,0.0224313524862129,44.06312227892557,single_submetric,XGBRegressor,mse,test,avg_max_depth,
en,0.0116611588746309,0.0328743383288383,0.0276489779353141,0.0291863624006509,0.0299032262216011,0.0182420673469702,61.00367636517004,single_submetric,XGBRegressor,mse,test,avg_max_depth,
fi,0.0172411613166332,0.0357306897640228,0.036765594035387,0.0343495942652225,0.0356152926882107,0.0183741313715775,51.59056681755053,single_submetric,XGBRegressor,mse,test,avg_max_depth,
id,0.0285029225051403,0.0332420319318771,0.030579961836338,0.0284854751080274,0.0307691562920808,0.0022662337869405,7.365277635265552,single_submetric,XGBRegressor,mse,test,avg_max_depth,
ja,0.0633264556527137,0.0878545120358467,0.0905374065041542,0.0902355536818504,0.0895424907406171,0.0262160350879034,29.27775949838709,single_submetric,XGBRegressor,mse,test,avg_max_depth,
ko,0.0179967172443866,0.0390049405395984,0.0373823009431362,0.0382131189107894,0.0382001201311746,0.020203402886788,52.8883229094882,single_submetric,XGBRegressor,mse,test,avg_max_depth,
ru,0.0149314971640706,0.0255890525877475,0.0250174757093191,0.0252894330769777,0.0252986537913481,0.0103671566272775,40.97908415515363,single_submetric,XGBRegressor,mse,test,avg_max_depth,
ar,0.0424229316413402,0.0562052428722381,0.057950984686613,0.0615024827420711,0.0585529034336407,0.0161299717923005,27.54768909210621,complexity,XGBRegressor,mse,test,complexity,
en,0.01533043384552,0.040159922093153,0.0398009307682514,0.0418687872588634,0.0406098800400892,0.0252794461945692,62.24949733812042,complexity,XGBRegressor,mse,test,complexity,
fi,0.0194283053278923,0.0379438363015651,0.0412246063351631,0.0417835526168346,0.0403173317511876,0.0208890264232953,51.81152996981252,complexity,XGBRegressor,mse,test,complexity,
id,0.019750302657485,0.0418473631143569,0.0405586659908294,0.0400105901062488,0.040805539737145,0.02105523707966,51.59896723653328,complexity,XGBRegressor,mse,test,complexity,
ja,0.0282608270645141,0.057965837419033,0.0604071915149688,0.0607750788331031,0.0597160359223683,0.0314552088578542,52.67464320429176,complexity,XGBRegressor,mse,test,complexity,
ko,0.0156495179980993,0.0361475422978401,0.0369026735424995,0.0378310903906822,0.0369604354103406,0.0213109174122413,57.658729329468464,complexity,XGBRegressor,mse,test,complexity,
ru,0.0242598485201597,0.0592613965272903,0.0608148574829101,0.0601358115673065,0.0600706885258356,0.0358108400056759,59.61449899192374,complexity,XGBRegressor,mse,test,complexity,
ar,0.0673727840185165,0.0674134567379951,0.0689187198877334,0.0676986053586006,0.068010260661443,0.0006374766429265,0.9373242165618504,single_submetric,XGBRegressor,mse,test,lexical_density,
en,0.0282840505242347,0.0339854583144187,0.0311514325439929,0.031054563820362,0.0320638182262578,0.0037797677020231,11.7882645022227,single_submetric,XGBRegressor,mse,test,lexical_density,
fi,0.0575177185237407,0.05014568567276,0.0569185763597488,0.0565834492444992,0.054549237092336,-0.0029684814314046,-5.44183858406658,single_submetric,XGBRegressor,mse,test,lexical_density,
id,0.0398102588951587,0.0617268532514572,0.0735984221100807,0.0600566416978836,0.0651273056864738,0.0253170467913151,38.87316775116214,single_submetric,XGBRegressor,mse,test,lexical_density,
ja,0.077939473092556,0.0636532083153724,0.0644390136003494,0.0678594186902046,0.0653172135353088,-0.0126222595572472,-19.32455301453412,single_submetric,XGBRegressor,mse,test,lexical_density,
ko,0.0626168400049209,0.0810392647981643,0.0793768763542175,0.0794556438922882,0.0799572616815566,0.0173404216766357,21.687112980052923,single_submetric,XGBRegressor,mse,test,lexical_density,
ru,0.0518310517072677,0.0603289566934108,0.0597748979926109,0.0615767985582351,0.0605602177480856,0.0087291660408179,14.414026840406866,single_submetric,XGBRegressor,mse,test,lexical_density,
ar,0.10744109749794,0.1229071542620658,0.1257248520851135,0.1239289864897728,0.1241869976123173,0.0167459001143773,13.4844230365035,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
en,0.050181571394205,0.0667194575071334,0.0607675164937973,0.0640795156359672,0.0638554965456326,0.0136739251514276,21.413857680451866,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
fi,0.0664499998092651,0.0822582095861435,0.0830441415309906,0.0890615209937095,0.0847879573702812,0.0183379575610161,21.628021395693743,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
id,0.0773122534155845,0.0700950175523758,0.0740941017866134,0.0747929140925407,0.0729940111438433,-0.0043182422717411,-5.915885706337734,single_submetric,XGBRegressor,mse,test,avg_verb_edges,
