is_control,control_index,is_cross_lingual,file_path,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,test_loss,test_accuracy,test_f1,train_mse,train_rmse,train_r2,val_mse,val_rmse,val_r2,test_mse,test_rmse,test_r2,layer,model_type,task,task_type,language,submetric,train_language,eval_language,train_mae,val_mae,test_mae,train_ar_mse,train_ar_rmse,train_ar_mae,train_ar_r2,train_en_mse,train_en_rmse,train_en_mae,train_en_r2,train_fi_mse,train_fi_rmse,train_fi_mae,train_fi_r2,train_id_mse,train_id_rmse,train_id_mae,train_id_r2,train_ja_mse,train_ja_rmse,train_ja_mae,train_ja_r2,train_ko_mse,train_ko_rmse,train_ko_mae,train_ko_r2,train_ru_mse,train_ru_rmse,train_ru_mae,train_ru_r2,val_ar_mse,val_ar_rmse,val_ar_mae,val_ar_r2,val_en_mse,val_en_rmse,val_en_mae,val_en_r2,val_fi_mse,val_fi_rmse,val_fi_mae,val_fi_r2,val_id_mse,val_id_rmse,val_id_mae,val_id_r2,val_ja_mse,val_ja_rmse,val_ja_mae,val_ja_r2,val_ko_mse,val_ko_rmse,val_ko_mae,val_ko_r2,val_ru_mse,val_ru_rmse,val_ru_mae,val_ru_r2,test_ar_mse,test_ar_rmse,test_ar_mae,test_ar_r2,test_en_mse,test_en_rmse,test_en_mae,test_en_r2,test_fi_mse,test_fi_rmse,test_fi_mae,test_fi_r2,test_id_mse,test_id_rmse,test_id_mae,test_id_r2,test_ja_mse,test_ja_rmse,test_ja_mae,test_ja_r2,test_ko_mse,test_ko_rmse,test_ko_mae,test_ko_r2,test_ru_mse,test_ru_rmse,test_ru_mae,test_ru_r2,train_ar_accuracy,train_ar_f1,train_en_accuracy,train_en_f1,train_fi_accuracy,train_fi_f1,train_id_accuracy,train_id_f1,train_ja_accuracy,train_ja_f1,train_ko_accuracy,train_ko_f1,train_ru_accuracy,train_ru_f1,val_ar_accuracy,val_ar_f1,val_en_accuracy,val_en_f1,val_fi_accuracy,val_fi_f1,val_id_accuracy,val_id_f1,val_ja_accuracy,val_ja_f1,val_ko_accuracy,val_ko_f1,val_ru_accuracy,val_ru_f1,test_ar_accuracy,test_ar_f1,test_en_accuracy,test_en_f1,test_fi_accuracy,test_fi_f1,test_id_accuracy,test_id_f1,test_ja_accuracy,test_ja_f1,test_ko_accuracy,test_ko_f1,test_ru_accuracy,test_ru_f1
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/fi/control2/results.json,0.012760276272892952,,,0.018262992380186915,,,0.014612767113638776,,,0.012773659080266953,0.1130206135192468,0.128570556640625,0.01819080486893654,0.1348732919036847,0.012560009956359863,0.014744604006409645,0.12142736102876339,-0.06640148162841797,11.0,lm_probe,single_submetric,regression,fi,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ar/control1/results.json,0.019146383488698612,,,0.05072923252979914,,,0.08163794130086899,,,0.019327791407704353,0.13902442737772508,0.0031735897064208984,0.05170083045959473,0.22737816618926876,0.004594981670379639,0.08021613955497742,0.28322453911159856,-0.07093644142150879,11.0,lm_probe,single_submetric,regression,ar,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ar/control3/results.json,0.016144949647169265,,,0.053025721261898674,,,0.07985761538147926,,,0.016202257946133614,0.12728809035465027,0.16437220573425293,0.0540277361869812,0.23243867188353404,-0.04020535945892334,0.07843522727489471,0.2800628987832817,-0.04716014862060547,11.0,lm_probe,single_submetric,regression,ar,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ar/control2/results.json,0.01970689230790687,,,0.0492973905056715,,,0.08303968980908394,,,0.019805382937192917,0.14073159892928425,-0.021458148956298828,0.05029228702187538,0.2242594190259918,0.03171396255493164,0.08130332827568054,0.2851373849141507,-0.08545112609863281,11.0,lm_probe,single_submetric,regression,ar,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ja/control1/results.json,0.020961642228066922,,,0.02130107581615448,,,0.06352782621979713,,,0.020974144339561462,0.14482452948158148,-0.009280800819396973,0.021289201453328133,0.14590819529186197,-0.06548833847045898,0.06344324350357056,0.25187942254890644,-0.06344115734100342,11.0,lm_probe,single_submetric,regression,ja,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ja/control3/results.json,0.020498667924354473,,,0.019389627501368523,,,0.061001492043336235,,,0.020424941554665565,0.14291585480507601,0.01714688539505005,0.019303226843476295,0.1389360530729022,0.03390634059906006,0.06086453050374985,0.24670737829207673,-0.02021658420562744,11.0,lm_probe,single_submetric,regression,ja,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/ja/control2/results.json,0.02058282400170962,,,0.020770287762085598,,,0.06324177669982116,,,0.020685072988271713,0.14382306139236403,0.004629313945770264,0.020762482658028603,0.14409192433314438,-0.03912699222564697,0.06306900829076767,0.2511354381419868,-0.05716824531555176,11.0,lm_probe,single_submetric,regression,ja,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/n_tokens/en/control1/results.json,0.020644097390274205,,,0.035242322646081445,,,0.02760870648281915,,,0.020680824294686317,0.14380829007635937,0.012753546237945557,0.037330616265535355,0.19321132540701477,-0.018670320510864258,0.027643784880638123,0.16626420204192519,-0.4615093469619751,11.0,lm_probe,single_submetric,regression,en,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/n_tokens/en/control3/results.json,0.020482629059503477,,,0.03602808341383934,,,0.028158112029944147,,,0.020329948514699936,0.14258312843636142,0.029503345489501953,0.03799096494913101,0.1949127111019982,-0.0366896390914917,0.028215883299708366,0.16797584141687866,-0.4917558431625366,11.0,lm_probe,single_submetric,regression,en,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/n_tokens/en/control2/results.json,0.020276227792104085,,,0.03576591499149799,,,0.025947366175907,,,0.020293597131967545,0.14245559705384533,0.031238675117492676,0.03812897577881813,0.19526642255856005,-0.04045569896697998,0.02597680874168873,0.16117322588348454,-0.3733774423599243,11.0,lm_probe,single_submetric,regression,en,n_tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
